id	url	page
36a98cb916a03b76b72fec69d9c961c4	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=İSTANBUL/FLORYA	39
16d61afc48c53c369b4b13f15f347ab4	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=IZMIR	40
a2d8e8d81fbe3e11a33f8dafd9aa5300	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=K.MARAS	41
f094873678ff37e1a26356ef54c558d7	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=KARABUK	42
457abe16fa99360e901c47c99c490275	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=KARAMAN	43
9a27ec0ef0da3c15a9e49db7bfb199cd	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=KARS	44
7aebac89bfc63ccf82538d465cd40104	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=KASTAMONU	45
2cdc87e406b33f0ca792803d00ff54ae	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=KAYSERI	46
1df5b12fece2356387d99dbef57870db	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=KILIS	47
b2d6d6ea740034d18409805e1b3b5e68	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=KIRIKKALE	48
16aebb14df0337b7b25bffb05438a484	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=KIRKLARELI	49
cbb12ecd943e32e881f0ce16f71006ad	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=KIRSEHIR	50
4caec3de7d033fd088cab9ed06cc9e10	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=KOCAELI	51
dd2ddb12586c31ef8e8eae841a513257	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=KONYA	52
a5034954fe1034a6b566a71226e03469	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=KUTAHYA	53
16a49870bb7c3b8ab13911fcb83c41dc	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=MALATYA	54
0d4ef08541853b1cbb49da27a917855d	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=MANISA	55
d35a13793f77304da7e5ae244680ffed	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=MARDIN	56
70a043d4c5c534e9988b9b02312fa1f7	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=MERSIN	57
63cd59e630d23c8ca6dc4f492c044d28	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=MUGLA	58
45217a06bb163c44891288c949a5045a	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=MUS	59
ea6f14f96e413c9dbd974c4ca9b7a7de	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=NEVSEHIR	60
22026d4b53d935f7b600c6387557d727	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=NIGDE	61
c171ad39d7073bb69af1691a99328cf4	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=ORDU	62
f12471b36af0308293d2b432c3cb18ad	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=OSMANIYE	63
3b0a7475177d37269764510895e67f2c	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=RIZE	64
7705cca2fba93fa5a0f6042a7510fed5	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=SAKARYA	65
28e07c8852b83bbe9d0ce2d422831389	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=SAMSUN	66
2cdbd44c6f0d3d3eac5333367bb74ee4	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=SIIRT	67
2d98777392793c5ba26c1b845f03c8d5	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=SINOP	68
a00a9df4953933f2b8094638abbd2f85	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=SIVAS	69
b240bbcfaf2b3c9ba50c3b62bc30fba9	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=SANLIURFA	70
9e9516bf825b3dd8b71a1a99096f24b6	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=SIRNAK	71
5ec38897898039b1b27a8066e9553b63	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=TEKIRDAG	72
8be7d4d4a2853a869568e9d3c73f05d6	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=TOKAT	73
ba54aa97ecac3a47b5434eff9af9a659	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=TRABZON	74
2573b98928b4396caeabbeecadbf400a	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=TUNCELI	75
b9f843bae1f73f3d8747079c73439f08	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=USAK	76
8f59910364aa396786b96310b73ca6a0	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=VAN	77
7e9d1e60b0e13350bedeaf393283c0d2	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=YALOVA	78
ce836c082a603f68a8fda338dce1a9f6	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=YOZGAT	79
98752cbe19993c88ab2fee0dee2295d0	https://www.mgm.gov.tr/veridegerlendirme/il-ve-ilceler-istatistik.aspx?k=undefined&m=ZONGULDAK	80
